names,scores,logfoldchanges,pvals,pvals_adj
NFKBIA,22.565184,1.5668567,9.527806338559467e-113,8.120149789185198e-110
PFN1,22.52004,1.0716212,2.6412971251869044e-112,2.180720938982438e-109
TNFRSF1B,22.505077,2.118596,3.7017186537087184e-112,2.963618388817707e-109
TYMP,22.366709,1.8097885,8.304067936707514e-111,6.4527492614062505e-108
H3F3B,22.255365,0.9120828,1.000730782442322e-109,7.554087792036042e-107
RPS25,-22.23675,-0.35210276,1.5154468937571189e-109,1.11216963702953e-106
RPL32,-21.608025,-0.34832734,1.509722788543076e-103,1.0780236776569749e-100
TUBA1B,21.588188,1.6814133,2.3192540297448304e-103,1.6124918806804848e-100
RPS3A,-21.365734,-0.4475873,2.7843660614332324e-101,1.8862295216170768e-98
SEC11C,21.132957,1.560234,3.959588172585394e-99,2.615307987992653e-96
MIR155HG,21.083206,1.9589821,1.1343303157352635e-98,7.309513888225771e-96
SUB1,21.06466,0.98491997,1.6783149171368675e-98,1.0557400026370486e-95
DYNLL1,20.815178,1.5639662,3.15371735117207e-96,1.8936639185901384e-93
RPS29,-20.81622,-0.3040282,3.0859936848045794e-96,1.8936639185901384e-93
SRSF3,20.724789,1.3532873,2.0703662609048547e-95,1.2155350358468058e-92
YBX1,20.709837,0.92172706,2.8241507597084157e-95,1.6220448493803552e-92
RPS4X,-20.561478,-0.34964758,6.075384891035267e-94,3.41514188981174e-91
TNFRSF9,20.522873,2.9242687,1.345204742547692e-93,7.404231103772921e-91
CCND2,20.512789,1.8901805,1.6552866135446162e-93,8.92503516935689e-91
CHCHD2,20.457827,0.95966655,5.1169161438971986e-93,2.70377849043528e-90
RPS13,-20.307606,-0.38634357,1.1014426741594925e-91,5.705904990449763e-89
GAS5,-20.28881,-0.9473342,1.6145294552472644e-91,8.04827702030806e-89
RPL35A,-20.28965,-0.32436588,1.5872039243282708e-91,8.04827702030806e-89
PRELID1,20.261755,1.2914689,2.798066630479358e-91,1.3689800069863822e-88
TPM4,20.146055,1.647981,2.914354037852162e-90,1.399949703273711e-87
RPL3P4,-20.105085,-0.5187839,6.66063058514149e-90,3.1423903582042532e-87
