Statistic,Value
CD4 Treg Mean,0.040423959493637085
Non-CD4-Treg Mean,0.016044480726122856
CD4 Treg Median,0.0
Non-CD4-Treg Median,0.0
CD4 Treg % Expressed,7.32484076433121
Non-CD4-Treg % Expressed,1.1606185882713214
t-statistic,3.4969645447245945
p-value (t-test),0.000502691620355159
U-statistic,10879097.0
p-value (Mann-Whitney),1.9341757845043605e-41
