names,scores,logfoldchanges,pvals,pvals_adj
TNFRSF25,19.329361,2.2423265,3.041668402982848e-83,1.5872946560965992e-80
CD2,19.272753,1.885768,9.096531150339594e-83,4.6692047024308695e-80
RBM17,19.27144,1.7442085,9.330171258940339e-83,4.71188697239808e-80
CYTOR,19.240187,1.8799766,1.7059236492902716e-82,8.478440536972649e-80
ODC1,19.161095,2.1868365,7.820968559393355e-82,3.8262866650494585e-79
PDCD5,19.125143,1.7590183,1.5594465234338035e-81,7.511973860805512e-79
CD7,19.11309,1.867524,1.9648048035292019e-81,9.321212606561036e-79
PHB,18.989504,1.7748612,2.0828727751642106e-80,9.73385514375621e-78
YWHAB,18.983227,1.691701,2.347265321236435e-80,1.0808121246063826e-77
YWHAQ,18.961197,1.797239,3.569257490655981e-80,1.6196669752163684e-77
ARPC5L,18.942762,1.7790829,5.066703006070567e-80,2.266336254615365e-77
RAP1A,18.93061,1.6958284,6.381928704501842e-80,2.814430558685312e-77
EIF3J,18.878593,1.8835678,1.7107864748850407e-79,7.439782682656321e-77
ARID5A,18.851746,1.7871993,2.843080704598531e-79,1.2194479444066382e-76
MYO1G,18.845247,1.994492,3.2145546011818416e-79,1.360147555643306e-76
ARHGDIA,18.829205,1.727864,4.3525649485471246e-79,1.8171088147194537e-76
G3BP1,18.822927,1.9063444,4.900144930837373e-79,2.0187952359138025e-76
TYMP,18.822159,1.820042,4.97163119381398e-79,2.0216460299936303e-76
MIR155HG,18.818764,2.231707,5.300742808609884e-79,2.1278404882100522e-76
PPIA,18.80933,1.7778462,6.333413203997029e-79,2.5101962130424175e-76
PIM1,18.79014,1.7834172,9.093881798544854e-79,3.559231662427974e-76
PDAP1,18.751825,1.7534972,1.8705969312310434e-78,7.230896359725333e-76
UBE2N,18.74864,1.6909,1.986029159066016e-78,7.583482804819028e-76
NDUFAB1,18.739714,1.7292396,2.348872883899314e-78,8.860910706960412e-76
ZNF706,18.72761,1.6907904,2.948655169922194e-78,1.0991112145884978e-75
SH2D2A,18.706875,1.9531711,4.3515637073592605e-78,1.6029624851897153e-75
PRDM1,18.692495,2.2627525,5.698455934905396e-78,2.0747017881142194e-75
CALR,18.675156,1.7504311,7.886034936866263e-78,2.8381567805542483e-75
PRELID1,18.650095,1.7109987,1.260553556809571e-77,4.485135501961872e-75
IL2RG,18.642218,1.6932439,1.460583641821271e-77,5.138464540344474e-75
SLA,18.640512,2.285058,1.5078727700753436e-77,5.24588936709212e-75
NDFIP1,18.63922,1.6882166,1.5447775970894855e-77,5.31522322444713e-75
