Statistic,Value
CD4 Treg Mean,0.03931247070431709
Non-CD4-Treg Mean,0.019424831494688988
CD4 Treg Median,0.0
Non-CD4-Treg Median,0.0
CD4 Treg % Expressed,7.802547770700636
Non-CD4-Treg % Expressed,1.3688562241616904
t-statistic,2.899290660359354
p-value (t-test),0.0038650724882802676
U-statistic,10904911.0
p-value (Mann-Whitney),1.0583167713042623e-38
