Statistic,Value
CD4 Treg Mean,0.30474814772605896
Non-CD4-Treg Mean,0.15642611682415009
CD4 Treg Median,0.0
Non-CD4-Treg Median,0.0
CD4 Treg % Expressed,37.57961783439491
Non-CD4-Treg % Expressed,9.955596386464553
t-statistic,7.633366216910284
p-value (t-test),8.113871260687355e-14
U-statistic,12821942.5
p-value (Mann-Whitney),2.9244834278810676e-91
