gene_symb,scores,logfoldchanges,pvals,pvals_adj
POLD2,14.513428,1.6543869,9.961589196693987e-48,3.4772276403309416e-46
CCT8,14.512884,1.1008629,1.0040773082071016e-47,3.500964877201844e-46
Z74021.1,14.511342,1.2410727,1.0269225889711061e-47,3.576637728951536e-46
MRPL34,14.504889,1.3013,1.1282040431696647e-47,3.9250218661872645e-46
LINC00116,14.502002,1.4421779,1.1766757394581255e-47,4.089111440418797e-46
GTPBP4,14.500319,1.595673,1.205893133443649e-47,4.1859999890525605e-46
COX6A1,14.494576,1.3506927,1.311092153473544e-47,4.5461358158815215e-46
TXNRD1,14.488499,1.7864481,1.4323989510014106e-47,4.961265879956324e-46
PUM3,14.485448,1.8480955,1.4974291226160835e-47,5.18077384068864e-46
TSSC4,14.484608,1.4438443,1.5158624370601868e-47,5.238760349535486e-46
VAPA,14.473831,1.1163318,1.7731323206085376e-47,6.114377322750433e-46
VMP1,14.472594,1.234775,1.8053138770231496e-47,6.21850195857776e-46
CD53,14.468026,1.1338681,1.929287070427366e-47,6.6382315892473925e-46
EIF1AY,14.462861,1.3354342,2.0797098896962502e-47,7.147946910678296e-46
MBNL1,14.45985,1.1872573,2.1727006945687506e-47,7.459367483294097e-46
NIFK,14.453092,1.4201677,2.396826542990255e-47,8.219828684290019e-46
PPP1R2,14.437372,1.1894413,3.011061754128998e-47,1.0315027853778237e-45
UFM1,14.433994,1.2129745,3.1622371763968194e-47,1.0821071937722493e-45
RAD21,14.433711,1.3923075,3.175243376424424e-47,1.0853716742273486e-45
UBXN4,14.427013,1.1478043,3.4990859238654234e-47,1.1947642242328273e-45
TLN1,14.418007,1.4840908,3.9869066008443356e-47,1.3598478494448473e-45
FLNA,14.417193,1.433218,4.034164563209721e-47,1.3744692778961872e-45
NSRP1,14.415108,1.2998202,4.157917929128069e-47,1.4150931334666193e-45
NFE2L2,14.413397,1.2173558,4.262222486312896e-47,1.44901681073771e-45
C9orf16,14.408652,1.2222683,4.565313435602911e-47,1.5503745008911355e-45
AAK1,14.403302,1.2185712,4.932913169215133e-47,1.673395928941441e-45
ARPC2,14.3996105,1.4495928,5.203607352194233e-47,1.763313309573091e-45
LUC7L3,14.399535,1.0787095,5.209292631628658e-47,1.7633314766370266e-45
TBCA,14.398197,1.3185911,5.311080216709994e-47,1.795844845198776e-45
TRMT112,14.39572,1.270093,5.504917407614695e-47,1.8593793845719924e-45
ALDOA,14.388547,1.3528495,6.106513652884043e-47,2.060356131308753e-45
RTCB,14.38235,1.8461037,6.678755398540745e-47,2.2510065692541362e-45
ERO1A,14.381478,1.6032817,6.763460236247695e-47,2.2771043382489416e-45
BST2,14.380177,1.1427085,6.891899914699316e-47,2.3178547607857174e-45
EEF1DP1,14.376757,1.21177,7.240912331578962e-47,2.4322217022088648e-45
AL513365.1,14.376694,1.297916,7.2474940058154335e-47,2.4322217022088648e-45
WDR74,14.373016,1.6727691,7.64283363061623e-47,2.5621495054413792e-45
TOMM20,14.367545,1.136059,8.271175404326342e-47,2.769826450105477e-45
CCDC85B,14.364597,1.3051609,8.630701451393006e-47,2.887135610518872e-45
TRAPPC3,14.362744,1.3995548,8.86466770368525e-47,2.962237038101268e-45
EXOSC8,14.357876,1.5449052,9.509727276380454e-47,3.1744037393469977e-45
POP7,14.357723,1.6051322,9.530747063273964e-47,3.178032175699372e-45
SRPK1,14.354039,1.8086053,1.0050848511671016e-46,3.3478948696694804e-45
PTGES3,14.350228,1.2007741,1.0618752247569166e-46,3.5333023551927544e-45
ACTR2,14.3489895,1.1760343,1.0810159517643903e-46,3.593173085530237e-45
BCAS2,14.344366,1.4254036,1.1555090761071579e-46,3.8367067531273833e-45
LITAF,14.338033,1.2769827,1.265930482210598e-46,4.198892937340682e-45
NOP58,14.335907,1.1463122,1.3052989196001808e-46,4.3248904202752663e-45
TMEM14B,14.334796,1.2434485,1.326358549486146e-46,4.390022467543416e-45
RTF1,14.325668,1.1560231,1.5126677756022106e-46,5.001387615826908e-45
WDR46,14.324918,1.6662782,1.5290985289678304e-46,5.0503801730497624e-45
ST13,14.31595,1.1319457,1.7396849703872484e-46,5.739860496079571e-45
LRPAP1,14.315781,1.4818034,1.7439398359969843e-46,5.747842126831745e-45
TRIR,14.313144,1.2665963,1.8113667234579727e-46,5.963796369946644e-45
MSN,14.311699,1.2747393,1.849389212070087e-46,6.082586724698161e-45
MGAT1,14.311489,1.4837602,1.854973328394223e-46,6.094550879889981e-45
PHLDA1,14.309599,1.5933545,1.906106419994688e-46,6.255985127510868e-45
FXYD5,14.304934,1.2512069,2.0383156805664032e-46,6.682900761697869e-45
SCAND1,14.2998495,1.228426,2.192819833429869e-46,7.18194370340195e-45
CRELD2,14.298965,1.704568,2.2208731090264597e-46,7.266223397777166e-45
ACTN4,14.298143,1.3505455,2.247251939177993e-46,7.344854432943858e-45
RPN2,14.29568,1.367195,2.328203769919126e-46,7.60150033784544e-45
CISD1,14.291885,1.6885988,2.4586176874043102e-46,8.01893525107462e-45
ITK,14.29107,1.622292,2.4875812827936142e-46,8.1018984210425e-45
HSP90AA1,14.291024,1.3391078,2.4892294340784013e-46,8.1018984210425e-45
SRSF11,14.289039,1.0960582,2.5612145715828873e-46,8.327537845361554e-45
MRPL22,14.28889,1.3327478,2.56669430046558e-46,8.336697639198939e-45
IFNG,14.282347,2.6431386,2.8194570440668328e-46,9.148188549925036e-45
SOCS3,14.274348,1.4790329,3.1622939312055536e-46,1.0249957068320611e-44
CHORDC1,14.263944,1.5745891,3.671084271418731e-46,1.188679623809637e-44
ZNF207,14.257418,1.1836809,4.030981326601893e-46,1.303864218153222e-44
PAIP2,14.256069,1.0405993,4.109584786069438e-46,1.3279175359816326e-44
COMMD7,14.238931,1.4410361,5.2524566708604315e-46,1.695460523931041e-44
PSMD1,14.236805,1.6040691,5.41466435970332e-46,1.746020141778277e-44
PPP2CA,14.235113,1.167866,5.547313155304748e-46,1.786953932157891e-44
MYC,14.234218,1.6306398,5.618803449692051e-46,1.8081228655016221e-44
PEBP1,14.230608,1.118656,5.916532944671597e-46,1.901977033168505e-44
TANK,14.229065,1.2011431,6.048526307438155e-46,1.942414432945601e-44
MLEC,14.223197,1.62809,6.577812782757846e-46,2.110224344681669e-44
NCOA3,14.222683,1.899399,6.6262792342373426e-46,2.123597022550721e-44
ETF1,14.221664,1.5115716,6.7234749763630575e-46,2.152543200254639e-44
WBP11,14.22119,1.3491684,6.7691549867129894e-46,2.164954155147808e-44
RHEB,14.220935,1.193907,6.7939423308552515e-46,2.170664574708253e-44
MFNG,14.21995,1.4952611,6.890281714091248e-46,2.1992009250755464e-44
KHDRBS1,14.218138,1.1518915,7.070942421745335e-46,2.254564950786845e-44
C11orf58,14.210473,1.1918242,7.889052022510345e-46,2.512859693558713e-44
RAP1B,14.205915,1.2353095,8.419501689997616e-46,2.6790957054422294e-44
MRPS6,14.196542,1.0618734,9.624546665455813e-46,3.059433306011034e-44
TDG,14.195826,1.6949303,9.723497183723171e-46,3.0877527415776493e-44
PSMF1,14.192865,1.4792352,1.0142861460947133e-45,3.2176609443132285e-44
GNB1,14.191546,1.5249122,1.033542301026322e-45,3.275429452169552e-44
MED4,14.187922,1.2617946,1.0883685711150289e-45,3.44569346109026e-44
C8orf59,14.185369,1.1600292,1.128719343144904e-45,3.5698314498192013e-44
NIPA2,14.1827135,1.7280296,1.1722385777156108e-45,3.7037297786935913e-44
PDCD10,14.182097,1.2716342,1.1825815019138556e-45,3.732642077260558e-44
SNHG16,14.180507,1.2787818,1.2097048898676598e-45,3.814407835513222e-44
CSDE1,14.17586,1.0582831,1.2924886477210208e-45,4.071339240321215e-44
RASGRP1,14.169043,1.6563108,1.424284578655133e-45,4.4819873811327517e-44
SEPT1,14.165445,1.4022057,1.499135055669951e-45,4.71279294458653e-44
AHSA1,14.157628,1.2996051,1.6755576369566277e-45,5.262124891750147e-44
MOB1A,14.15471,1.1150693,1.7465839958786365e-45,5.479688526548696e-44
SRPRB,14.153011,1.7546977,1.7892846578910398e-45,5.608037229552187e-44
TNFAIP3,14.151391,1.4880466,1.831003045177879e-45,5.733053634756456e-44
IER3IP1,14.14802,1.332099,1.920912264085169e-45,6.008559830246826e-44
HLA-F,14.146552,1.5362165,1.9614116860330185e-45,6.125379980732917e-44
USP15,14.146524,1.3260857,1.9621717992638742e-45,6.125379980732917e-44
KIF2A,14.146206,1.6699036,1.9710810565558697e-45,6.147063641615622e-44
SAP18,14.144875,1.1728555,2.0087380642964785e-45,6.258268411063387e-44
POLR2H,14.144628,1.477206,2.0158142112589978e-45,6.274071448183943e-44
SHKBP1,14.141166,1.4252597,2.1174613570427825e-45,6.583895983154573e-44
TCP1,14.1406145,1.1692897,2.134117871248122e-45,6.629103637564479e-44
AC068137.1,14.138776,1.2805116,2.1906086436630986e-45,6.797834216227481e-44
NDUFB6,14.135675,1.2280104,2.2892667410972742e-45,7.096953557474924e-44
CENPX,14.135231,1.4687945,2.303766103257399e-45,7.134838818901328e-44
CMPK1,14.1333275,1.0705456,2.3669080795882298e-45,7.323148110670658e-44
URI1,14.128499,1.657003,2.5348873994328896e-45,7.835129256035855e-44
UBE2A,14.128086,1.2778208,2.549795622829649e-45,7.873436957240546e-44
BRIX1,14.125986,1.4155403,2.626984373192157e-45,8.103793862957599e-44
YDJC,14.106383,1.67284,3.469174495831592e-45,1.0691271913285725e-43
FAAP20,14.086201,1.3346386,4.617417478960911e-45,1.4214611024990152e-43
AC144530.1,14.086138,1.2933546,4.6215304600427884e-45,1.4214611024990152e-43
EIF2S1,14.083454,1.2719147,4.800455554029377e-45,1.4750447875585262e-43
RTFDC1,14.07739,1.284353,5.2306535569887065e-45,1.605656799243857e-43
NUDT5,14.071624,1.4130567,5.675084140587023e-45,1.74037766430872e-43
NOB1,14.07153,1.7921976,5.682660696228922e-45,1.7409959790569842e-43
VPS28,14.067587,1.0924275,6.00852779398332e-45,1.8390323925455697e-43
HSBP1,14.065637,1.096748,6.176445122294041e-45,1.888580793204577e-43
NDUFS3,14.065565,1.4037519,6.182671721613255e-45,1.8886403343944642e-43
WNK1,14.063632,1.6847601,6.353924452682272e-45,1.939061681656283e-43
RSRC2,14.059632,1.0917996,6.723451829182711e-45,2.0498344715047694e-43
RNF19A,14.056035,1.8368359,7.074018267616229e-45,2.154616595110231e-43
PRNP,14.053567,1.2948897,7.32492800338239e-45,2.228870949600641e-43
HDAC7,14.051389,2.4492517,7.55376664384287e-45,2.2962717221880013e-43
CCND3,14.04663,1.3117268,8.07877868934855e-45,2.45348825938111e-43
PAICS,14.045704,1.8728366,8.18515174686637e-45,2.483384557617567e-43
PCSK7,14.045431,1.1996288,8.216702335234877e-45,2.490543725252074e-43
FBL,14.042361,1.13958,8.580474963489522e-45,2.5982906342535826e-43
NDUFB11,14.039448,1.0960721,8.940676183484591e-45,2.7047489080298167e-43
RPA3,14.039238,1.292774,8.967162646280827e-45,2.710143143027982e-43
BCL7C,14.038689,1.595308,9.036927998142741e-45,2.7285945279638123e-43
AP003385.3,14.033316,1.4509801,9.748537057079607e-45,2.94062084580173e-43
STK17B,14.032682,1.2788903,9.835975736194754e-45,2.9641408688738587e-43
ZPR1,14.03238,1.6115687,9.877942668496669e-45,2.9739256047432614e-43
SPG21,14.03147,1.3279713,1.0005507034067405e-44,3.009437375059409e-43
TMEM165,14.0289545,1.2231717,1.0366815066812792e-44,3.1142483336458713e-43
PRKCH,14.028907,1.4692998,1.0373865453012181e-44,3.1142483336458713e-43
MRPL55,14.027936,1.362707,1.0516811847098598e-44,3.154136932418622e-43
TAF9,14.027777,1.5847664,1.0540462586332776e-44,3.1582050147432106e-43
CAPNS1,14.027158,1.4610901,1.0632767242400853e-44,3.1828162058012723e-43
BNIP2,14.02607,1.3638359,1.0797117257911184e-44,3.2289258687913765e-43
FDX1,14.024101,1.311754,1.1100916772643755e-44,3.316610735384051e-43
TMEM258,14.01976,1.2669191,1.1801356393550172e-44,3.522519256801234e-43
ADIPOR1,14.016525,1.3358477,1.2351648426204431e-44,3.6832615606941614e-43
TRAC,14.01399,1.5083323,1.2800600303679071e-44,3.813507099034209e-43
DDT,14.013884,1.0450282,1.2819891529932352e-44,3.815623799369884e-43
GABARAPL2,14.009529,1.0224833,1.3630606376782829e-44,4.053066631181834e-43
MRPL50,14.008322,1.4211193,1.386433576114615e-44,4.1186548104103136e-43
HAPLN3,14.007778,1.7766671,1.3970728378489378e-44,4.146326789183706e-43
AC004687.1,14.002223,1.1872971,1.5107084305272554e-44,4.479336332219592e-43
NONO,14.00163,1.2095848,1.5233745908453364e-44,4.5126189038749596e-43
DDX1,13.999608,1.4421196,1.567318338399604e-44,4.6384030712315695e-43
HDDC2,13.99937,1.2909591,1.5725976979221372e-44,4.649632343686501e-43
HIGD1A,13.997057,1.4401097,1.624600451627864e-44,4.7988551642377396e-43
WASF2,13.9902725,1.2973342,1.7872484959505986e-44,5.27432023154658e-43
MLF2,13.983897,1.2009455,1.954826080112469e-44,5.7634236717892194e-43
MTPN,13.98361,1.4695097,1.9627330622509797e-44,5.781292089571065e-43
USP16,13.978834,1.2150468,2.098970468592745e-44,6.17315472782435e-43
SCP2,13.978809,1.3405464,2.0997124924572625e-44,6.17315472782435e-43
GATA3,13.972941,1.7989129,2.2801169294991835e-44,6.697255270126543e-43
MARS,13.969589,1.6874843,2.3900145906680847e-44,7.013472057020468e-43
GABPB1,13.967891,1.2932042,2.4476801152049655e-44,7.175965551234333e-43
ATP6V1E1,13.967233,1.4145921,2.470404893907751e-44,7.235813623306416e-43
SF3B1,13.962801,1.2249284,2.628959830036829e-44,7.69302441479282e-43
PTPN2,13.96261,1.2942001,2.636007805682936e-44,7.706446349555406e-43
TRABD,13.960543,1.235416,2.713589697233035e-44,7.925858862879064e-43
NDUFB10,13.9514675,1.0666904,3.081989740386308e-44,8.993493081196242e-43
PPP1R12A,13.944076,1.2987766,3.4185074492838385e-44,9.96619057211604e-43
NDUFB4,13.942792,1.0671571,3.480531776102212e-44,1.013757492479408e-42
ORMDL2,13.936574,1.2726177,3.79735723245739e-44,1.1050097797906447e-42
ATRAID,13.930794,1.1075878,4.117524665421481e-44,1.19706420426195e-42
SUMO3,13.930251,1.1737692,4.148948077994316e-44,1.2050808281083489e-42
NDUFA9,13.928528,1.5993271,4.2502668482192593e-44,1.2333652018961372e-42
PABPN1,13.928269,1.5604213,4.265637961639738e-44,1.2366795390453873e-42
AL355032.1,13.927158,1.1811204,4.332506310852095e-44,1.2549038399545786e-42
UBXN1,13.926509,1.0728923,4.3721003152698826e-44,1.2652017834696424e-42
MRPL1,13.925671,1.656061,4.4237217467368174e-44,1.2789580019582317e-42
ATP5D,13.923358,1.2285635,4.569230751218565e-44,1.319807970953916e-42
ABCE1,13.916712,1.5726091,5.014467816561459e-44,1.447078357643833e-42
DNAJC7,13.912177,1.1538062,5.342785710111737e-44,1.540404819238569e-42
HSP90AB1,13.904823,1.3592954,5.921320177240284e-44,1.7056343704652306e-42
PSMD3,13.904731,1.547756,5.928958910370526e-44,1.7062650040681206e-42
MTCH2,13.887995,1.4219251,7.490321925432543e-44,2.153622312279324e-42
METTL5,13.886898,1.2979178,7.605843699038411e-44,2.1848309363357036e-42
SEC11A,13.886064,1.0113089,7.694941292430946e-44,2.2083987791687016e-42
DARS,13.885322,1.1396215,7.775061017636682e-44,2.2293492264031333e-42
BCAP31,13.881527,1.140201,8.197866981399133e-44,2.348430128587267e-42
UFC1,13.878177,1.0080564,8.590118964867436e-44,2.4585485823488506e-42
CD2BP2,13.870321,1.44979,9.584639052534297e-44,2.7406815833233006e-42
GK,13.867579,2.5301135,9.95812291892073e-44,2.8448794408241506e-42
FMNL1,13.866479,1.1224108,1.0112070840744298e-43,2.8862265277533705e-42
RAD23B,13.864906,1.2823752,1.0336112436927386e-43,2.9474864891860956e-42
AC009220.1,13.860667,1.384508,1.0965036008644333e-43,3.1239876475583504e-42
LINC-PINT,13.856103,1.6915193,1.1684783846799499e-43,3.326020609337629e-42
TMEM9B,13.853254,1.1887821,1.2157720307245394e-43,3.457496644324801e-42
METTL9,13.853086,1.2143345,1.2186146650249711e-43,3.462435914391731e-42
BLOC1S4,13.848051,1.2835394,1.3071145813738713e-43,3.710522634396852e-42
BTF3L4,13.847535,1.3293933,1.3165315959801016e-43,3.733869637838131e-42
CHCHD2,13.84495,1.3843112,1.3647581906685961e-43,3.8671442269705335e-42
CCZ1,13.842677,1.4609686,1.4086063374449775e-43,3.9877823717667e-42
MESD,13.84007,1.4732443,1.4606560594738652e-43,4.1314003503329887e-42
JOSD2,13.838058,1.7310712,1.502083438299307e-43,4.244741384168737e-42
AK2,13.833522,1.6277131,1.5999098352622364e-43,4.517112430288177e-42
TPRKB,13.828749,1.2426662,1.7096932955126118e-43,4.822721331152738e-42
FKBP4,13.825971,1.5941095,1.7769932557166462e-43,5.00805002967992e-42
UQCRH,13.8196535,1.1781267,1.9400020635503363e-43,5.4625363859554477e-42
DCUN1D5,13.815218,1.5180804,2.0632918587274043e-43,5.80446822898596e-42
IRF1,13.811773,1.194117,2.1643715584998065e-43,6.083360670393847e-42
GNAS,13.810436,1.103062,2.2049369102038312e-43,6.191818797793018e-42
AC079250.1,13.808995,1.2371424,2.249463831245004e-43,6.311197313630135e-42
EED,13.807538,2.0573885,2.2954194642309952e-43,6.434366951167116e-42
SH3GLB1,13.806019,1.1046574,2.3443543281095524e-43,6.565659961309321e-42
KMT2E,13.800895,1.1155632,2.5170891179864986e-43,7.043125770623347e-42
POLR1D,13.798773,1.033243,2.5922685228814532e-43,7.247010689280461e-42
CYTH1,13.794957,1.4137031,2.7331369542058722e-43,7.634009917318472e-42
COX6C,13.793788,1.2711825,2.7778326766173522e-43,7.751935734185909e-42
MZT2B,13.782703,1.1686383,3.2391012848102412e-43,9.031122023926398e-42
EMC4,13.77462,1.206917,3.622857266458088e-43,1.009210710587804e-41
EIF4B,13.771733,1.0986964,3.770589531080228e-43,1.0494304782902489e-41
STUB1,13.768521,1.1340177,3.942002913198138e-43,1.0961638829053897e-41
EIF4A3,13.766997,1.348218,4.0260365115122926e-43,1.1185379699375456e-41
PSMG2,13.764443,1.1247095,4.170836943679617e-43,1.1577400314144723e-41
CDK6,13.761749,2.0021317,4.3292213239081234e-43,1.2006399368723407e-41
GBP1,13.76099,1.4693849,4.3749105405536575e-43,1.2122373799581906e-41
TMEM50A,13.748544,1.0247291,5.1964906361284444e-43,1.4386146623149222e-41
MAX,13.747756,1.1695689,5.253410819880657e-43,1.4530878637922544e-41
G3BP2,13.745928,1.2900885,5.387815601874862e-43,1.4889487582551086e-41
BRMS1,13.745781,1.4738369,5.398752141722316e-43,1.4906554524644394e-41
UBE2Z,13.74394,1.7248353,5.5378178148785496e-43,1.5277058467106812e-41
RAB1A,13.741244,1.4510754,5.747962850021848e-43,1.584282260537272e-41
FKBP2,13.734141,1.1392844,6.3403484946492984e-43,1.7460215630251906e-41
NT5C,13.733562,1.37304,6.391200882232818e-43,1.7584788297327917e-41
BLOC1S1,13.733221,1.0554289,6.42142362070353e-43,1.7652431517809328e-41
HLA-A,13.728986,1.266347,6.8079730749833255e-43,1.8698635522000247e-41
ACADVL,13.725231,1.1425722,7.170011983703575e-43,1.967574454178288e-41
SMIM26,13.724231,1.0337337,7.269622566294716e-43,1.9931624533559883e-41
RPL15P3,13.720055,1.4754949,7.700701897149052e-43,2.109507236234768e-41
HPRT1,13.717497,1.4445759,7.977175279737904e-43,2.183333349509384e-41
SREK1IP1,13.715488,1.2454253,8.201177219384016e-43,2.2426817459924272e-41
TUBA4A,13.715193,1.1057764,8.234670234475075e-43,2.2498757391941447e-41
POMP,13.712852,1.2812964,8.504855025807662e-43,2.321669709791314e-41
PSENEN,13.712227,1.1061039,8.578414802134038e-43,2.339710329874729e-41
FDPS,13.709713,1.1940396,8.88083298908577e-43,2.4200849584096126e-41
GMFG,13.697904,1.0504147,1.0449790980683073e-42,2.8451600469231967e-41
NUDCD2,13.695904,1.4756631,1.0741564005553468e-42,2.922060039773107e-41
PRPF31,13.692571,1.4029784,1.1245968817050004e-42,3.0566191808216375e-41
SKAP1,13.68808,1.6193936,1.1962928567841017e-42,3.2486665775166527e-41
DERL1,13.687637,1.3843863,1.2035967421143405e-42,3.265668768833806e-41
SPOCK2,13.687235,1.1742738,1.210281470683522e-42,3.2809630414347837e-41
SQSTM1,13.687137,1.045477,1.211923455406586e-42,3.2825722588439114e-41
POLR2J3,13.685654,1.1074299,1.236892163317736e-42,3.34730600913065e-41
EIF3B,13.682734,1.8399324,1.2875950130124543e-42,3.481510142697146e-41
UBE2V2,13.678023,1.2594291,1.3737743195094989e-42,3.7113242207214766e-41
IER5,13.674308,1.6546516,1.4457625282557886e-42,3.9024371139842236e-41
AC011495.1,13.668375,1.2706165,1.5685920857704986e-42,4.2303347801516e-41
RPL7AP50,13.666738,1.4632941,1.604280645121345e-42,4.322859834715528e-41
LAG3,13.663548,1.7554582,1.6761186477674304e-42,4.512549525386588e-41
BCL7B,13.656004,1.3824883,1.859100866649981e-42,4.996592895766313e-41
BDP1,13.653833,1.611233,1.9153095556935865e-42,5.140466472671874e-41
GLUD1,13.6538105,1.5371438,1.9159159316559925e-42,5.140466472671874e-41
VKORC1,13.648576,1.3196748,2.0586236492764586e-42,5.518627147473901e-41
LARS,13.643381,1.4491782,2.210692576981453e-42,5.921214309483854e-41
IMPDH2,13.641242,1.1042504,2.2764873913782843e-42,6.092230488157728e-41
CCNI,13.641138,1.171451,2.2797622400774535e-42,6.095784414950054e-41
RBX1,13.624226,1.1691107,2.874438741381264e-42,7.679313262063884e-41
WIPF1,13.621451,1.0830288,2.98572790392598e-42,7.96983174764078e-41
GTF3A,13.619697,1.0994792,3.0583381006924795e-42,8.156697126983154e-41
RDX,13.617539,1.6615566,3.1500155211807905e-42,8.394054126271636e-41
PSMA3-AS1,13.616054,1.1671191,3.214768471889373e-42,8.559321056405455e-41
MAT2A,13.615058,1.7888912,3.2588891404552254e-42,8.669420380356294e-41
ARL4C,13.613611,1.1521344,3.324055284093144e-42,8.835271222431276e-41
DENR,13.612263,1.427369,3.3859486716548026e-42,8.992149182203862e-41
TMEM183A,13.60894,1.3798585,3.5434555193752694e-42,9.40246913281009e-41
RPS6KB2,13.604776,1.4265888,3.751135039359753e-42,9.945113396900355e-41
PSMD6,13.6018305,1.2309414,3.905327949226819e-42,1.0345154265502615e-40
HNRNPU,13.600961,1.0522271,3.9520670016746293e-42,1.046011579792344e-40
TMED2,13.599357,1.1304501,4.039687441497745e-42,1.068299438181891e-40
MDFIC,13.597407,2.1765282,4.148812555758576e-42,1.0962318137836015e-40
HLA-E,13.595539,1.3738359,4.2561103116595717e-42,1.1236346540334979e-40
AC008038.1,13.593753,1.3021191,4.361291829829198e-42,1.1504330959038079e-40
SRSF6,13.59324,1.2040485,4.392013518134242e-42,1.1575617446658351e-40
BZW1,13.591499,1.1209306,4.497699761148226e-42,1.1844194888251647e-40
RPL37P23,13.5900135,1.3719617,4.589979502718481e-42,1.2077046068035155e-40
TMUB1,13.587313,1.5257845,4.7624629974130485e-42,1.2520359270528963e-40
VTI1B,13.586345,1.3205296,4.825890489987804e-42,1.2676464524497327e-40
MRPL9,13.580848,1.3373545,5.202107705623487e-42,1.3653243451029083e-40
UQCRC1,13.579793,1.3159733,5.277547317042224e-42,1.3839638529640624e-40
RFC1,13.579646,1.5461488,5.288131766604685e-42,1.3855790271477762e-40
HIKESHI,13.5773735,1.2636095,5.4547606818682446e-42,1.428043576170373e-40
SNX6,13.56995,1.2857189,6.0363239670054e-42,1.577657259857313e-40
TIMM17B,13.569537,1.2910472,6.070431477854262e-42,1.5852483736705152e-40
MYH9,13.56851,1.3079233,6.156101061247335e-42,1.6062806694059607e-40
HIF1A,13.566981,1.1870583,6.285786730474755e-42,1.6387532749200256e-40
CALCOCO2,13.5622,1.7947382,6.709378160689387e-42,1.747731610560278e-40
OCIAD2,13.561254,1.0566751,6.796433307448129e-42,1.7689370182004022e-40
COPZ1,13.558958,1.3373924,7.012501452154323e-42,1.8236580811329238e-40
RBM23,13.55886,1.25741,7.021926997356806e-42,1.824593827504058e-40
TKT,13.558501,1.2680959,7.056326387157697e-42,1.8320119030538527e-40
BAG1,13.556954,1.1849867,7.206719889899033e-42,1.8695079243796903e-40
RRS1,13.556738,1.8607826,7.227961757507228e-42,1.87346614726249e-40
SNRPA,13.551568,1.5837294,7.755543974642969e-42,2.0085511777505877e-40
OLA1,13.551434,1.410525,7.769734497068922e-42,2.0105632796506198e-40
CCDC59,13.550874,1.1561605,7.829214726063249e-42,2.024281934663636e-40
FARSA,13.548346,1.6457968,8.103571234865933e-42,2.0934894301558356e-40
ELAVL1,13.545014,1.2420598,8.479708249357042e-42,2.188855276138651e-40
CAPZA2,13.5436125,1.0875416,8.6432173965361e-42,2.2292238871741504e-40
POLR2L,13.528973,1.3130257,1.0548791341201291e-41,2.7184625982251324e-40
C16orf87,13.522264,2.2615914,1.1556421797965674e-41,2.9732384791791566e-40
ZBTB8OS,13.516649,1.2041941,1.2472858625760284e-41,3.206384863966997e-40
IFI27L2,13.51335,1.1934448,1.3044855908110628e-41,3.350676647570565e-40
STK24,13.511045,1.7694027,1.3459631096544284e-41,3.454381223474574e-40
ATP6V0E1,13.510438,1.1904165,1.35712507252042e-41,3.480175523807278e-40
MRPL42,13.51037,1.4344488,1.3583623634864842e-41,3.4804978693228567e-40
FURIN,13.493844,1.8708345,1.70000760975867e-41,4.352325287747646e-40
BRD7,13.491913,1.5766498,1.74512638592693e-41,4.464187276941022e-40
NEDD8,13.4893265,1.1550874,1.8074508547050542e-41,4.619844384626119e-40
FDFT1,13.488557,1.4210387,1.826410117098908e-41,4.664496507054152e-40
H2AFV,13.48506,1.0146964,1.91510221276993e-41,4.883042783716554e-40
ECHDC1,13.484865,1.6305712,1.920171457999364e-41,4.891984419968924e-40
MFSD10,13.482575,1.3278309,1.9807019640172927e-41,5.042094243524021e-40
BABAM1,13.481097,1.407783,2.02078500292254e-41,5.13995119630444e-40
TSTD1,13.479584,1.0218347,2.0626708011152544e-41,5.242230962152576e-40
FGFR1OP2,13.476917,1.1919888,2.1385754430281858e-41,5.426331904104987e-40
ATP1A1,13.471267,1.1507503,2.3086965781974496e-41,5.8532468469587324e-40
FERMT3,13.466611,1.4542617,2.45896350524375e-41,6.2291752680167525e-40
APEX1,13.465129,1.2619483,2.508808553069976e-41,6.350307567111884e-40
IFI35,13.464195,1.6331027,2.5406960181361047e-41,6.425826577048433e-40
PIH1D1,13.453854,1.4415561,2.922354913201729e-41,7.385137585735216e-40
CHD4,13.449651,1.5362676,3.093311576820412e-41,7.810861192082574e-40
DUT,13.448668,1.0828714,3.1347152571825087e-41,7.909030573540817e-40
SCAMP3,13.447839,1.5885684,3.170013416157245e-41,7.991649764355838e-40
TRADD,13.443772,1.1931705,3.3491986994838205e-41,8.436585718385996e-40
PPHLN1,13.443157,1.2243664,3.377123035959009e-41,8.500088374510653e-40
ATG101,13.4426985,1.4377743,3.3981459158654767e-41,8.546132270816383e-40
C19orf60,13.439149,1.1271513,3.565118621534554e-41,8.958862693328124e-40
NACAP1,13.439015,1.2290232,3.5715882260431137e-41,8.96792293068452e-40
TNFRSF14,13.436141,1.3989624,3.713018014415883e-41,9.315569475110232e-40
EFHD2,13.433759,1.3372077,3.834415041262083e-41,9.612439500156693e-40
RBBP4,13.424638,1.3693037,4.3370151072273535e-41,1.0863702401791656e-39
AC078814.1,13.419491,1.3390993,4.648974824413152e-41,1.1635815405851339e-39
OTUB1,13.4171715,1.3233235,4.796711870857808e-41,1.1995994040609329e-39
NDUFV2P1,13.415897,1.8398939,4.879906469638038e-41,1.2194313764631812e-39
